"","x"
"1","0610007P14Rik"
"2","0610009B22Rik"
"3","1110037F02Rik"
"4","1110038B12Rik"
"5","1110058L19Rik"
"6","1700020I14Rik"
"7","1700123O20Rik"
"8","1810009A15Rik"
"9","1810013L24Rik"
"10","1810037I17Rik"
"11","1810043H04Rik"
"12","1810055G02Rik"
"13","1810058I24Rik"
"14","2010107E04Rik"
"15","2210016F16Rik"
"16","2210016L21Rik"
"17","2310022B05Rik"
"18","2310039H08Rik"
"19","2410006H16Rik"
"20","2410015M20Rik"
"21","2700089E24Rik"
"22","2810004N23Rik"
"23","4833439L19Rik"
"24","9030624J02Rik"
"25","9530068E07Rik"
"26","AI413582"
"27","AW549877"
"28","Aamp"
"29","Aars"
"30","Abcc1"
"31","Abce1"
"32","Abcf1"
"33","Abcf2"
"34","Abhd4"
"35","Abi1"
"36","Abi3bp"
"37","Acaa1a"
"38","Acadl"
"39","Acadsb"
"40","Acat1"
"41","Acin1"
"42","Aco2"
"43","Acot13"
"44","Acot7"
"45","Acta2"
"46","Actn1"
"47","Actn4"
"48","Actr10"
"49","Actr1a"
"50","Actr1b"
"51","Actr2"
"52","Actr3"
"53","Adam15"
"54","Adam19"
"55","Adam9"
"56","Adamts5"
"57","Adh5"
"58","Adipor1"
"59","Adk"
"60","Aebp1"
"61","Aebp2"
"62","Aes"
"63","Afap1"
"64","Afg3l2"
"65","Aga"
"66","Agpat1"
"67","Agpat6"
"68","Ahnak"
"69","Aimp1"
"70","Aimp2"
"71","Ak2"
"72","Akap12"
"73","Akap2"
"74","Akr1b10"
"75","Akt1"
"76","Akt1s1"
"77","Alas1"
"78","Aldh18a1"
"79","Aldh2"
"80","Alg14"
"81","Alg5"
"82","Amfr"
"83","Amotl1"
"84","Anapc16"
"85","Anapc2"
"86","Anapc5"
"87","Angptl2"
"88","Ankrd17"
"89","Ano6"
"90","Anp32b"
"91","Antxr1"
"92","Anxa1"
"93","Anxa3"
"94","Anxa4"
"95","Anxa6"
"96","Anxa7"
"97","Anxa8"
"98","Ap1s1"
"99","Ap2a2"
"100","Ap2b1"
"101","Ap2m1"
"102","Ap2s1"
"103","Ap3d1"
"104","Apbb1ip"
"105","Aplp2"
"106","Apoa1bp"
"107","App"
"108","Aprt"
"109","Arcn1"
"110","Arf2"
"111","Arf3"
"112","Arf4"
"113","Arf5"
"114","Arf6"
"115","Arfip1"
"116","Arhgap1"
"117","Arhgap29"
"118","Arhgdib"
"119","Arhgef25"
"120","Arid5b"
"121","Arl2"
"122","Arl2bp"
"123","Arl6ip1"
"124","Arl6ip5"
"125","Arl8a"
"126","Arl8b"
"127","Arpc1a"
"128","Arpc1b"
"129","Arpc3"
"130","Arpc4"
"131","Arpc5"
"132","Arpp19"
"133","Asah1"
"134","Asap1"
"135","Asna1"
"136","Asns"
"137","Asph"
"138","Atad1"
"139","Ate1"
"140","Atf4"
"141","Atic"
"142","Atoh8"
"143","Atox1"
"144","Atp13a3"
"145","Atp1a1"
"146","Atp1b3"
"147","Atp2a2"
"148","Atp5a1"
"149","Atp5c1"
"150","Atp5f1"
"151","Atp5j2"
"152","Atp5o"
"153","Atp6v0b"
"154","Atp6v0e"
"155","Atp6v1a"
"156","Atp6v1b2"
"157","Atp6v1c1"
"158","Atp6v1d"
"159","Atp6v1e1"
"160","Atp6v1f"
"161","Atp6v1h"
"162","Atpif1"
"163","Atxn10"
"164","Atxn7l3b"
"165","Aup1"
"166","Aurkaip1"
"167","Avpi1"
"168","B2m"
"169","B4galt1"
"170","B4galt5"
"171","BC004004"
"172","BC031181"
"173","Bad"
"174","Bag2"
"175","Bag3"
"176","Bag6"
