,k0,k1,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100,mu_101,mu_102,mu_103,mu_104,mu_105,mu_106,mu_107,mu_108,mu_109,mu_110,mu_111,mu_112,mu_113,mu_114,mu_115,mu_116,mu_117,mu_118,mu_119,mu_120,mu_121,mu_122,mu_123,mu_124,mu_125,mu_126,mu_127,mu_128,mu_129,mu_130,mu_131,mu_132,mu_133,mu_134,mu_135,mu_136,mu_137,mu_138,mu_139,mu_140,mu_141,mu_142,mu_143,mu_144,mu_145,mu_146,mu_147,mu_148,mu_149,mu_150,mu_151,mu_152,mu_153,mu_154,mu_155,mu_156,mu_157,mu_158,mu_159,mu_160,mu_161,mu_162,mu_163,mu_164,mu_165,mu_166,mu_167,mu_168,mu_169,mu_170,mu_171,mu_172,mu_173,mu_174,mu_175,mu_176,mu_177,mu_178,mu_179,mu_180,mu_181,mu_182,mu_183,mu_184,mu_185,mu_186,mu_187,mu_188,mu_189,mu_190,mu_191,mu_192,mu_193,mu_194,mu_195,mu_196,mu_197,mu_198,mu_199,mu_200,mu_201,mu_202,mu_203,mu_204,mu_205,mu_206,mu_207,mu_208,mu_209,mu_210,mu_211,mu_212,mu_213,mu_214,mu_215,mu_216,mu_217,mu_218,mu_219,mu_220,mu_221,mu_222,mu_223,mu_224,mu_225,mu_226,mu_227,mu_228,mu_229,mu_230,mu_231,mu_232,mu_233,mu_234,mu_235,mu_236,mu_237,mu_238,mu_239,mu_240,mu_241,mu_242,mu_243,mu_244,mu_245,mu_246,mu_247,mu_248,mu_249,mu_250,mu_251,mu_252,mu_253,mu_254,mu_255,mu_256,mu_257,mu_258,mu_259,mu_260,mu_261,mu_262,mu_263
0,1,"[0.5799999999962906, 1.6680567139316929, 'optimal', 'optimal']","[-4.806110122104552e-13, 1.0000000000004832, 'optimal', 'optimal']","[-9.969970877837426e-15, 1.0000000000003197, 'optimal', 'optimal']","[-7.844588330915597e-13, 1.0000000000005616, 'optimal', 'optimal']","[-6.528479749886628e-13, 1.0000000000013014, 'optimal', 'optimal']","[-5.707516393638716e-13, 1.0000000000000941, 'optimal', 'optimal']","[-5.507174853248311e-13, 0.6644542798755534, 'optimal', 'optimal']","[-5.508051774130696e-13, 0.6644542798749504, 'optimal', 'optimal']","[-5.573989277374175e-13, 0.5442090234221785, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"[0.7142857142743528, 2.384615384620014, 'optimal', 'optimal']","[-3.195878333020674e-14, 1.0000000000007347, 'optimal', 'optimal']","[-1.64408253395005e-14, 1.0000000000003568, 'optimal', 'optimal']","[-1.5198467649919685e-14, 1.0000000000002234, 'optimal', 'optimal']","[-1.472085836512031e-14, 1.000000000000217, 'optimal', 'optimal']","[-1.5041736016374785e-14, 0.8500986193702661, 'optimal', 'optimal']","[-1.6172684283421926e-14, 0.8500986193486412, 'optimal', 'optimal']","[-1.715460714676389e-14, 0.8500986193523103, 'optimal', 'optimal']","[-1.7459058558949273e-14, 0.8500986193585297, 'optimal', 'optimal']","[-1.7702582523860406e-14, 0.8500986193756788, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,"[0.19047619043121522, 2.4571428571594924, 'optimal', 'optimal']","[5.002119746826698e-16, 0.9999999999999633, 'optimal', 'optimal']","[-2.9027372588832106e-14, 0.9999999999999488, 'optimal', 'optimal']","[-3.18548334267436e-16, 0.9999999999999357, 'optimal', 'optimal']","[-3.410092748786082e-16, 0.9999999999999296, 'optimal', 'optimal']","[-3.436792908228993e-16, 0.9999999999999568, 'optimal', 'optimal']","[-3.186361049120302e-16, 0.9999999999999726, 'optimal', 'optimal']","[-3.7688671680996744e-16, 0.9999999999999719, 'optimal', 'optimal']","[-3.755063068268745e-16, 0.9999999999999665, 'optimal', 'optimal']","[-3.7346558347262693e-16, 0.9999999999999543, 'optimal', 'optimal']","[-3.6575183570618334e-16, 0.9999999999998971, 'optimal', 'optimal']","[-3.5834314168829087e-16, 0.999999999999856, 'optimal', 'optimal']","[-3.635785361042217e-16, 0.999999999999814, 'optimal', 'optimal']","[-3.600914022065542e-16, 0.9999999999997553, 'optimal', 'optimal']","[-3.6366794011710904e-16, 0.9999999999997189, 'optimal', 'optimal']","[-3.571587749173899e-16, 0.999999999999647, 'optimal', 'optimal']","[-3.530455510441755e-16, 0.9999999999995808, 'optimal', 'optimal']","[-3.4799191505341625e-16, 0.9999999999990968, 'optimal', 'optimal']","[-3.64191734975972e-16, 0.9999999999990659, 'optimal', 'optimal']","[-3.7873555575658237e-16, 0.9999999999989831, 'optimal', 'optimal']","[-4.0388321580276584e-16, 0.9999999999989689, 'optimal', 'optimal']","[-4.2420721656140146e-16, 0.9999999999987998, 'optimal', 'optimal']","[-4.441792264663752e-16, 0.999999999998672, 'optimal', 'optimal']","[-4.434900747606544e-16, 0.9999999999985661, 'optimal', 'optimal']","[-4.474630550605231e-16, 0.9999999999986613, 'optimal', 'optimal']","[-4.502569812805179e-16, 0.999999999998869, 'optimal', 'optimal']","[-4.526212598223054e-16, 0.9999999999988768, 'optimal', 'optimal']","[-4.536497604850734e-16, 0.9999999999988879, 'optimal', 'optimal']","[-4.535715892448556e-16, 0.9999999999988816, 'optimal', 'optimal']","[-4.539630601395459e-16, 0.9999999999989466, 'optimal', 'optimal']","[-4.540233527891256e-16, 0.9999999999989952, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,"[None, None, 'infeasible', 'infeasible']","[None, None, 'infeasible', 'infeasible']","[None, None, 'infeasible', 'infeasible']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,"[1.9583333333130568, 3.0769230771025895, 'optimal', 'optimal']","[-1.5531003095355805e-13, 0.3325892857148883, 'optimal', 'optimal']","[-1.7227298914821537e-13, 0.39627659574675983, 'optimal', 'optimal']","[-7.134218277387598e-14, 1.0000000000037303, 'optimal', 'optimal']","[-7.465563744598331e-14, 1.0000000000029128, 'optimal', 'optimal']","[-7.487598822532833e-14, 1.0000000000023208, 'optimal', 'optimal']","[-7.567037508040853e-14, 1.000000000005222, 'optimal', 'optimal']","[-8.149616479182906e-14, 1.0000000000001423, 'optimal', 'optimal']","[-8.551627190837652e-14, 1.000000000000151, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,"[1.3235294117627003, 3.1924882629459135, 'optimal', 'optimal']","[-3.8418625612459746e-14, 0.8466666666720649, 'optimal', 'optimal']","[-2.958861005152495e-14, 1.0000000000000686, 'optimal', 'optimal']","[-2.8261667370880346e-14, 1.0000000000001243, 'optimal', 'optimal']","[-2.8011660839096946e-14, 1.0000000000000955, 'optimal', 'optimal']","[-2.7623854489549906e-14, 1.0000000000000355, 'optimal', 'optimal']","[-2.6714612106255064e-14, 0.999999999999924, 'optimal', 'optimal']","[-2.6564219014267477e-14, 0.9999999999999628, 'optimal', 'optimal']","[-2.667834902517318e-14, 0.9999999999999442, 'optimal', 'optimal']","[-2.5680126652398666e-14, 0.9999999999999118, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,"[0.38709677419241767, 2.1428571428580616, 'optimal', 'optimal']","[-5.991775855776935e-14, 1.0000000000030518, 'optimal', 'optimal']","[-5.358269700244252e-14, 1.0000000000000588, 'optimal', 'optimal']","[-5.247218688949148e-14, 1.0000000000034974, 'optimal', 'optimal']","[-5.1534748344899946e-14, 1.0000000000028628, 'optimal', 'optimal']","[-5.0502014750568016e-14, 1.0000000000028444, 'optimal', 'optimal']","[-4.9698664743137385e-14, 1.0000000000000322, 'optimal', 'optimal']","[-4.865337289940456e-14, 1.0000000000000353, 'optimal', 'optimal']","[-4.774251025742278e-14, 1.0000000000000433, 'optimal', 'optimal']","[-4.6844742636162296e-14, 1.000000000000041, 'optimal', 'optimal']","[-4.6694130132396926e-14, 1.0000000000000213, 'optimal', 'optimal']","[-4.8084099456620784e-14, 1.0000000000000207, 'optimal', 'optimal']","[-5.0083358107106846e-14, 1.0000000000000207, 'optimal', 'optimal']","[-4.774255190779157e-14, 1.0000000000000109, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,"[1.083333333332961, 2.777777777793996, 'optimal', 'optimal']","[-1.1719245099641302e-13, 1.0000000000000937, 'optimal', 'optimal']","[-9.181738445297307e-14, 1.0000000000078868, 'optimal', 'optimal']","[-6.395557241515373e-14, 1.0000000000003602, 'optimal', 'optimal']","[-5.573763038382782e-14, 0.9069325736002034, 'optimal', 'optimal']","[-5.355787911475509e-14, 0.9069325736299675, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,"[1.9407566024183622, 5.470588235394043, 'optimal', 'optimal']","[-1.2419845662204004e-13, 1.0000000000109062, 'optimal', 'optimal']","[-6.809100052694954e-14, 1.0000000000005065, 'optimal', 'optimal']","[-6.300399593410276e-14, 1.0000000000003155, 'optimal', 'optimal']","[-1.3347590651565512e-13, 1.0000000000002853, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,"[0.9999999999994856, 2.0666666666689637, 'optimal', 'optimal']","[-2.5017022055538304e-13, 0.9090909090967747, 'optimal', 'optimal']","[-3.794359587141401e-15, 1.0000000000007652, 'optimal', 'optimal']","[-5.17819353344714e-15, 1.0000000000003104, 'optimal', 'optimal']","[-6.395553684477119e-15, 1.0000000000001896, 'optimal', 'optimal']","[-6.936860432889798e-15, 1.0000000000074838, 'optimal', 'optimal']","[-7.292710341261019e-15, 1.000000000000159, 'optimal', 'optimal']","[-7.239938861113546e-15, 1.0000000000004443, 'optimal', 'optimal']","[-6.934793889328216e-15, 1.000000000000643, 'optimal', 'optimal']","[-6.621442293547149e-15, 0.9539682539687336, 'optimal', 'optimal']","[-6.661881880769251e-15, 0.9539682539687986, 'optimal', 'optimal']","[-6.667034815847039e-15, 0.8282051282071258, 'optimal', 'optimal']","[-6.652445646927059e-15, 0.8282051282078313, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
