,k0,k1,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100,mu_101,mu_102,mu_103,mu_104,mu_105,mu_106,mu_107,mu_108,mu_109,mu_110,mu_111,mu_112,mu_113,mu_114,mu_115,mu_116,mu_117,mu_118,mu_119,mu_120,mu_121,mu_122,mu_123,mu_124,mu_125,mu_126,mu_127,mu_128,mu_129,mu_130,mu_131,mu_132,mu_133,mu_134,mu_135,mu_136,mu_137,mu_138,mu_139,mu_140,mu_141,mu_142,mu_143,mu_144,mu_145,mu_146,mu_147,mu_148,mu_149,mu_150,mu_151,mu_152,mu_153,mu_154,mu_155,mu_156,mu_157,mu_158,mu_159,mu_160,mu_161,mu_162,mu_163,mu_164,mu_165,mu_166,mu_167,mu_168,mu_169,mu_170,mu_171,mu_172,mu_173,mu_174,mu_175,mu_176,mu_177,mu_178,mu_179,mu_180,mu_181,mu_182,mu_183,mu_184,mu_185,mu_186,mu_187,mu_188,mu_189,mu_190,mu_191,mu_192,mu_193,mu_194,mu_195,mu_196,mu_197,mu_198,mu_199,mu_200,mu_201,mu_202,mu_203,mu_204,mu_205,mu_206,mu_207,mu_208,mu_209,mu_210,mu_211,mu_212,mu_213,mu_214,mu_215,mu_216,mu_217,mu_218,mu_219,mu_220,mu_221,mu_222,mu_223,mu_224,mu_225,mu_226,mu_227,mu_228,mu_229,mu_230,mu_231,mu_232,mu_233,mu_234,mu_235,mu_236,mu_237,mu_238,mu_239,mu_240,mu_241,mu_242,mu_243,mu_244,mu_245,mu_246,mu_247,mu_248,mu_249,mu_250,mu_251,mu_252,mu_253,mu_254,mu_255,mu_256,mu_257,mu_258,mu_259,mu_260,mu_261,mu_262,mu_263,mu_264,mu_265,mu_266,mu_267,mu_268,mu_269,mu_270,mu_271,mu_272,mu_273,mu_274,mu_275,mu_276,mu_277,mu_278,mu_279,mu_280,mu_281,mu_282,mu_283,mu_284,mu_285,mu_286,mu_287
0,1,"[0.7931034482720015, 2.0578571428580195, 'optimal', 'optimal']","[-2.8743155645824184e-14, 1.0000000000016618, 'optimal', 'optimal']","[-2.653118833851089e-14, 1.000000000002961, 'optimal', 'optimal']","[-2.277233585339472e-14, 1.00000000000185, 'optimal', 'optimal']","[-2.0845291320012502e-14, 1.0000000000013007, 'optimal', 'optimal']","[-1.78409258333694e-14, 1.000000000000075, 'optimal', 'optimal']","[-1.6684337924484522e-14, 0.6713085690214184, 'optimal', 'optimal']","[-1.8331054566664728e-14, 0.6713085690084142, 'optimal', 'optimal']","[-2.080683345818881e-14, 0.6713085690264122, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"[0.9687499999987329, 2.175000000027888, 'optimal', 'optimal']","[-4.4302975334047706e-13, 0.7822580645270424, 'optimal', 'optimal']","[-5.764389656699711e-13, 1.0000000000025557, 'optimal', 'optimal']","[-1.2240675092646862e-14, 1.0000000000007392, 'optimal', 'optimal']","[-1.6441858083192303e-14, 1.0000000000003637, 'optimal', 'optimal']","[-2.1362929482612252e-14, 1.0000000000002727, 'optimal', 'optimal']","[-2.4189833960325182e-14, 1.0000000000006157, 'optimal', 'optimal']","[-2.551215532510408e-14, 1.0000000000062719, 'optimal', 'optimal']","[-2.642644212632816e-14, 1.000000000002613, 'optimal', 'optimal']","[-2.726552146716722e-14, 1.0000000000064764, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,"[0.14285714285622997, 1.9583333333413973, 'optimal', 'optimal']","[-1.5826038110619332e-15, 1.0000000000001716, 'optimal', 'optimal']","[-1.28875407477881e-15, 1.0000000000032607, 'optimal', 'optimal']","[-1.5144922004226716e-15, 1.0000000000029117, 'optimal', 'optimal']","[-1.733783730464011e-15, 1.0000000000029936, 'optimal', 'optimal']","[-1.6062043160786174e-15, 1.0000000000024472, 'optimal', 'optimal']","[-1.3349158541399215e-15, 1.0000000000019278, 'optimal', 'optimal']","[-1.2279648171697277e-15, 1.0000000000017242, 'optimal', 'optimal']","[-1.1330565476099194e-15, 1.0000000000019413, 'optimal', 'optimal']","[-1.1794671780126583e-15, 1.000000000001831, 'optimal', 'optimal']","[-1.2288119254881982e-15, 1.0000000000014178, 'optimal', 'optimal']","[-1.2394806750180665e-15, 1.000000000001741, 'optimal', 'optimal']","[-1.3127531391235123e-15, 1.0000000000018228, 'optimal', 'optimal']","[-1.460396550438353e-15, 1.0000000000018543, 'optimal', 'optimal']","[-1.6938408254011285e-15, 1.000000000001833, 'optimal', 'optimal']","[-1.987639580975464e-15, 1.0000000000025933, 'optimal', 'optimal']","[-1.972923510290285e-15, 1.00000000000005, 'optimal', 'optimal']","[-1.952720818420008e-15, 1.000000000000292, 'optimal', 'optimal']","[-1.999638942290791e-15, 1.0000000000001932, 'optimal', 'optimal']","[-2.042668945278235e-15, 1.000000000000135, 'optimal', 'optimal']","[-2.0958921295510114e-15, 1.000000000000116, 'optimal', 'optimal']","[-2.139907540897428e-15, 1.0000000000001124, 'optimal', 'optimal']","[-2.181929253655937e-15, 1.0000000000001121, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,"[None, None, 'infeasible', 'infeasible']","[None, None, 'infeasible', 'infeasible']","[None, None, 'infeasible', 'infeasible']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,"[1.232558139526332, 2.541666666669051, 'optimal', 'optimal']","[-6.177734572025108e-14, 0.6950416849532361, 'optimal', 'optimal']","[-8.260653416551917e-14, 1.0000000000059892, 'optimal', 'optimal']","[-1.240861725419763e-13, 1.000000000004966, 'optimal', 'optimal']","[-1.2663218123212162e-13, 1.0000000000052542, 'optimal', 'optimal']","[-1.1012909576197698e-13, 1.0000000000000797, 'optimal', 'optimal']","[-7.009955766795354e-14, 0.9120370370404516, 'optimal', 'optimal']","[-7.342345014315811e-14, 0.9120370370448645, 'optimal', 'optimal']","[-7.164945570328284e-14, 0.7490842490865798, 'optimal', 'optimal']","[-6.970491269553969e-14, 0.7490842490866427, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,"[0.3777777777755056, 1.500000000005642, 'optimal', 'optimal']","[-7.426509106112707e-15, 1.0000000000008493, 'optimal', 'optimal']","[-8.693353573328164e-15, 1.0000000000007552, 'optimal', 'optimal']","[-8.447846175274252e-15, 1.0000000000006448, 'optimal', 'optimal']","[-8.407338874921894e-15, 1.0000000000006255, 'optimal', 'optimal']","[-8.347259215008451e-15, 1.0000000000006182, 'optimal', 'optimal']","[-8.2815083778816e-15, 1.000000000000608, 'optimal', 'optimal']","[-8.200653785081936e-15, 1.0000000000015417, 'optimal', 'optimal']","[-8.23457372970321e-15, 1.0000000000011056, 'optimal', 'optimal']","[-8.268031999278484e-15, 1.000000000000112, 'optimal', 'optimal']","[-7.529978247004419e-15, 1.000000000000239, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,"[1.2950819672051, 2.9208924949367834, 'optimal', 'optimal']","[-8.995717673754582e-14, 1.0000000000000928, 'optimal', 'optimal']","[-8.751029017150498e-14, 1.0000000000001403, 'optimal', 'optimal']","[-7.103081887299616e-14, 1.0000000000003368, 'optimal', 'optimal']","[-5.700388293662147e-14, 0.948742062611253, 'optimal', 'optimal']","[-5.800143195844105e-14, 0.9487420626106707, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,"[2.2790697674299167, 5.565217391343871, 'optimal', 'optimal']","[-5.3208945851488076e-12, 1.0000000000004778, 'optimal', 'optimal']","[-6.52047817292722e-14, 1.00000000002268, 'optimal', 'optimal']","[-6.197839570222676e-14, 1.0000000000221763, 'optimal', 'optimal']","[-8.816612170146638e-14, 1.000000000000316, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,"[0.8333333333297896, 2.1504166666683324, 'optimal', 'optimal']","[-1.0016487791563353e-14, 1.0000000000001983, 'optimal', 'optimal']","[-1.1725261888377353e-14, 1.0000000000026357, 'optimal', 'optimal']","[-9.650845321072582e-15, 1.0000000000009632, 'optimal', 'optimal']","[-9.400149957056012e-15, 1.0000000000004676, 'optimal', 'optimal']","[-8.930939397179533e-15, 1.0000000000004925, 'optimal', 'optimal']","[-8.393340441819799e-15, 1.0000000000009905, 'optimal', 'optimal']","[-7.985828835877373e-15, 1.0000000000001987, 'optimal', 'optimal']","[-7.691825082891766e-15, 0.9872030572270926, 'optimal', 'optimal']","[-4.730699852959041e-13, 0.682623910871924, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,"[1.5689655171434675, 3.5882352942847326, 'optimal', 'optimal']","[-9.789654634998297e-13, 1.0000000000209528, 'optimal', 'optimal']","[-8.535328450227007e-13, 1.0000000000012346, 'optimal', 'optimal']","[-8.492134085272853e-13, 1.0000000000037554, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
