"","x"
"SS3_mESC_p1_A1_S1",0.0390930022766446
"SS3_mESC_p1_E1_S5",0.0431823692819071
"SS3_mESC_p1_C3_S19",0.0518884016442765
"SS3_mESC_p1_F2_S14",0.0431487119403
"SS3_mESC_p1_A3_S17",0.0191229795897663
"SS3_mESC_p1_G2_S15",0.0461498249002662
"SS3_mESC_p1_G1_S7",0.0387396001897701
"SS3_mESC_p1_C1_S3",0.0745622307735917
"SS3_mESC_p1_B1_S2",0.0777540686693315
"SS3_mESC_p1_D2_S12",0.0724698660370171
"SS3_mESC_p1_D1_S4",0.0653345096163123
"SS3_mESC_p1_A2_S9",0.0602298128059024
"SS3_mESC_p1_H1_S8",0.0351494837516796
"SS3_mESC_p1_E2_S13",0.0808729823249226
"SS3_mESC_p1_B2_S10",0.0434460184578294
"SS3_mESC_p1_C2_S11",0.0654523103119371
"SS3_mESC_p1_B3_S18",0.0493977583653512
"SS3_mESC_p1_H2_S16",0.0696763066836279
"SS3_mESC_p1_F1_S6",0.0930681591005612
"SS3_mESC_p1_E3_S21",0.0554055938422183
"SS3_mESC_p1_D3_S20",0.0668378708747627
"SS3_mESC_p1_G3_S23",0.0603363943876582
"SS3_mESC_p1_F3_S22",0.0405458775226844
"SS3_mESC_p1_D4_S28",0.044517443832322
"SS3_mESC_p1_A4_S25",0.0682514792222608
"SS3_mESC_p1_C4_S27",0.0071241373068358
"SS3_mESC_p1_H3_S24",0.0445511011739291
"SS3_mESC_p1_F4_S30",0.0840760393345315
"SS3_mESC_p1_A5_S33",0.0498745707047851
"SS3_mESC_p1_E5_S37",0.0429299392198539
"SS3_mESC_p1_C5_S35",0.0677578382120233
"SS3_mESC_p1_G4_S31",0.0357889732422145
"SS3_mESC_p1_B4_S26",0.0416004742263735
"SS3_mESC_p1_D5_S36",0.0858991453382493
"SS3_mESC_p1_B5_S34",0.0530327512589178
"SS3_mESC_p1_H4_S32",0.070568226236216
"SS3_mESC_p1_F5_S38",0.0482534087507099
"SS3_mESC_p1_E4_S29",0.110317546674199
"SS3_mESC_p1_G5_S39",0.0579130657919471
"SS3_mESC_p1_H5_S40",0.0569313933284067
"SS3_mESC_p1_B6_S42",0.0412639008103025
"SS3_mESC_p1_F7_S54",0.037662565258343
"SS3_mESC_p1_A6_S41",0.0653064618316397
"SS3_mESC_p1_D6_S44",0.0486404681791915
"SS3_mESC_p1_G6_S47",0.0502784588040703
"SS3_mESC_p1_H6_S48",0.0449549892732143
"SS3_mESC_p1_E6_S45",0.0765480139284105
"SS3_mESC_p1_C6_S43",0.080822496312512
"SS3_mESC_p1_B7_S50",0.0507945380420458
"SS3_mESC_p1_C7_S51",0.0991433092606425
"SS3_mESC_p1_A7_S49",0.0761497353860598
"SS3_mESC_p1_F6_S46",0.0811646792855175
"SS3_mESC_p1_D7_S52",0.0571108991503113
"SS3_mESC_p1_E7_S53",0.102907321963703
"SS3_mESC_p1_G7_S55",0.0444613482629768
"SS3_mESC_p1_H7_S56",0.038532046583193
"SS3_mESC_p1_A8_S57",0.0606617486898601
"SS3_mESC_p1_B8_S58",0.0759309626656137
"SS3_mESC_p1_C8_S59",0.0549343910597189
"SS3_mESC_p1_D8_S60",0.0504074786135642
"SS3_mESC_p1_E8_S61",0.101746143678258
"SS3_mESC_p1_F8_S62",0.0620697474804237
"SS3_mESC_p1_A9_S65",0.0411965861270883
"SS3_mESC_p1_D9_S68",0.0503121161456774
"SS3_mESC_p1_H9_S72",0.0893209750683043
"SS3_mESC_p1_B9_S66",0.113234516280148
"SS3_mESC_p1_F9_S70",0.0467107805937179
"SS3_mESC_p1_A10_S73",0.0755887796926082
"SS3_mESC_p1_G9_S71",0.0277953546105287
"SS3_mESC_p1_G8_S63",0.0654747485396752
"SS3_mESC_p1_H8_S64",0.0845416325600963
"SS3_mESC_p1_C9_S67",0.0422063063753012
"SS3_mESC_p1_E9_S69",0.112987695775029
"SS3_mESC_p1_B10_S74",0.0843228598396502
"SS3_mESC_p1_G10_S79",0.0344931655903412
"SS3_mESC_p1_D10_S76",0.0764414323466547
"SS3_mESC_p1_C10_S75",0.059758610023403
"SS3_mESC_p1_H10_S80",0.0963890168057949
"SS3_mESC_p1_E10_S77",0.0477709868543415
"SS3_mESC_p1_F10_S78",0.0680663638434217
"SS3_mESC_p1_B11_S82",0.0585469457255474
"SS3_mESC_p1_C11_S83",0.0714264884471971
"SS3_mESC_p1_A11_S81",0.0547492756808799
"SS3_mESC_p1_D11_S84",0.0375896410181943
"SS3_mESC_p1_E11_S85",0.080160568594239
"SS3_mESC_p1_F11_S86",0.0243454770958011
"SS3_mESC_p1_H11_S88",0.0671632251769646
"SS3_mESC_p1_A12_S89",0.0426214135884554
"SS3_mESC_p1_G11_S87",0.0668042135331555
"SS3_mESC_p1_C12_S91",0.0541546626458211
"SS3_mESC_p1_D12_S92",0.0506542991186829
"SS3_mESC_p1_B12_S90",0.057694293071501
"SS3_mESC_p1_E12_S93",0.0567014014940916
"SS3_mESC_p1_F12_S94",0.0380327960160211
