,k0,k1,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100,mu_101,mu_102,mu_103,mu_104,mu_105,mu_106,mu_107,mu_108,mu_109,mu_110,mu_111,mu_112,mu_113,mu_114,mu_115,mu_116,mu_117,mu_118,mu_119,mu_120,mu_121,mu_122,mu_123,mu_124,mu_125,mu_126,mu_127,mu_128,mu_129,mu_130,mu_131,mu_132,mu_133,mu_134,mu_135,mu_136,mu_137,mu_138,mu_139,mu_140
0,[1],"[0.8500000049523923, 1.0]","[0.0, 0.8526327196449442]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[1],"[0.40445512692749974, 1.0]","[0.0, 0.5633269564194385]","[0.0, 0.5246923401572734]","[0.0, 0.5944591212079537]","[0.0, 0.7220873278727636]","[0.0, 0.7579884731403278]","[0.0, 0.8327278066810535]","[0.0, 0.9032807822263877]","[0.0, 0.9348332308828681]","[0.0, 0.9591185320283144]","[0.0, 0.9769523125717334]","[0.0, 0.7226962815782069]","[0.0, 0.797433251283694]","[0.0, 0.7941072129628564]","[0.0, 0.6337527223480017]","[0.0, 0.5382429545356419]","[0.0, 0.4793403163081703]","[0.0, 0.4382216155428041]","[0.0, 0.40859595395638026]","[0.0, 0.3862579180797137]","[0.0, 0.3687185103950334]","[0.0, 0.3539941430724738]","[0.0, 0.341944393327301]","[0.0, 0.33247971509832525]","[0.0, 0.3251423818599003]","[0.0, 0.31956724126765823]","[0.0, 0.3154486252119888]","[0.0, 0.3124992973094262]","[0.0, 0.3104885628735232]","[0.0, 0.3092247814954489]","[0.0, 0.30854115926736214]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,[1],"[1.8181818231343803, 1.0]","[0.0, 0.42839636570128137]","[0.0, 0.540669213693742]","[0.0, 0.6808414968151427]","[0.0, 0.815579310468475]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9999908077341647]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,[1],"[1.563380851472017, 1.0]","[0.48637182865779693, 0.8816370375591983]","[0.0, 0.3628735178021955]","[0.0, 0.48310566705731606]","[0.0, 0.4606636609246195]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,[1],"[1.0365571544214243, 1.0]","[0.0, 0.7562323672807402]","[0.0, 0.8007983669037276]","[0.0, 0.9584714041410664]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,[1],"[0.8496618063508787, 1.0]","[0.0, 0.6232720347342319]","[0.0, 0.6413905614347792]","[0.0, 0.9840712768971175]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9642925997994237]","[0.0, 0.7814643706554123]","[0.0, 0.6226389379751852]","[0.0, 0.6126193612187057]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,[1],"[1.3620689704686115, 1.0]","[0.0, 0.7351339571488211]","[0.0, 0.9171356603875135]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.8407230543370892]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,[1],"[3.5000000049833115, 1.0]","[0.0, 0.738837786305347]","[0.0, 0.7993582755028583]","[0.0, 0.9629868426981418]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,[1],"[0.714107256624127, 1.0]","[0.0, 0.7681047547221114]","[0.0, 0.7628593367575278]","[0.0, 0.9301530169311125]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
