"","MME_MU","MME_SIZE"
"0610007P14Rik",44.1219045781613,0.632913270431028
"0610009B22Rik",68.8591860238838,1.11571836898377
"0610031J06Rik",205.798976290378,2.02293205434057
"1110007C09Rik",57.2985150836083,0.471569661297099
"1110037F02Rik",39.8467169209863,0.902359076024842
"1110038B12Rik",83.7631096336663,0.919194227370854
"1110038F14Rik",24.0278817134108,0.450378540173608
"1110051M20Rik",15.0338685923635,0.351806151067128
"1110058L19Rik",71.6700289665846,0.750533729456297
"1110059E24Rik",17.920982813467,0.421065098508513
"1500011B03Rik",17.9576301701702,0.312931328000902
"1500012F01Rik",36.0464111744955,0.39194390820638
"1600014C10Rik",21.3926585516522,0.574073044808624
"1700020I14Rik",52.6464057433571,1.07734325975227
"1700021F05Rik",26.3897192396448,0.569200330131116
"1700037H04Rik",28.9265308918776,0.47469358638968
"1700123O20Rik",68.4038280574648,1.41858149277682
"1810009A15Rik",98.1026741666935,1.76510288330325
"1810013L24Rik",66.15379850344,1.40464115666282
"1810026J23Rik",22.6753877102948,0.479236945038109
"1810030O07Rik",17.6199839791556,0.360595578739451
"1810037I17Rik",154.892324861315,1.24593121932762
"1810043H04Rik",38.969062589136,0.780409415044613
"1810055G02Rik",37.3605305704526,0.968337746616579
"1810058I24Rik",122.052854143024,1.84178602138122
"2010012O05Rik",24.2168078564282,0.46964437623383
"2010107E04Rik",338.125404140132,2.84441282540854
"2010111I01Rik",21.8986903091252,0.419205054291634
"2200002D01Rik",48.2699716782411,0.425613941752219
"2210013O21Rik",30.6564563549102,0.165516535785776
"2210016F16Rik",91.3121755977752,1.32720125442058
"2210016L21Rik",38.5430527987165,1.08456332888725
"2310009A05Rik",27.3867782868095,0.416916290627578
"2310011J03Rik",31.8880499828975,0.521539393305274
"2310022B05Rik",254.167112558065,2.46969066166547
"2310039H08Rik",47.81962835585,0.573513774120224
"2310057M21Rik",19.6972043632516,0.266358588192951
"2410004N09Rik",24.0377917163183,0.251506497626873
"2410006H16Rik",105.92325545598,0.898898932096926
"2410015M20Rik",184.610823735396,3.04240422443345
"2510003E04Rik",15.5157593165238,0.371707813785623
"2610001J05Rik",84.7671842518138,1.2827692607361
"2610002J02Rik",21.5789161209486,0.601470762702543
"2610008E11Rik",23.6346041966832,0.459922364237466
"2610203C20Rik",30.3864404473387,0.371729966496095
"2610524H06Rik",27.1317174616821,0.448557895689025
"2700089E24Rik",41.3075451405093,1.76533536508339
"2700097O09Rik",17.4443121428046,0.31913860407331
"2810004N23Rik",42.2861142413531,0.896653120034448
"2810408M09Rik",17.9649995402606,0.439729736675701
"2810417H13Rik",19.5619854646,0.16366982223766
"2810474O19Rik",24.9011367631318,0.286871940060389
"2900026A02Rik",17.6966662349256,0.246781442631976
"3110040N11Rik",21.6829202050974,0.46817851835914
"3110082I17Rik",12.9408019205256,0.244795591076282
"3830406C13Rik",20.5360671207612,0.366913325814623
"4833439L19Rik",44.3088970871368,0.913354509026079
"4930453N24Rik",20.5223420800872,0.383325307120769
"4933434E20Rik",34.0323729564909,0.886638389014874
"5730409E04Rik",27.6059404270671,0.682930087399226
"6030419C18Rik",20.3530073647149,0.43387890091404
"9030617O03Rik",17.353284064054,0.452825115063144
"9030624J02Rik",48.5415447517296,1.08178043938328
"9130401M01Rik",26.0757760711522,0.506516035406842
"9430016H08Rik",26.1511584856334,0.414138947936964
"9530068E07Rik",90.7397985551017,1.87635915986251
"A230046K03Rik",28.149346302192,0.492368146590131
"A330069E16Rik",22.3796049033576,0.10753387429862
"A430005L14Rik",31.90784745899,0.63745318012334
"AI314180",18.2678755367521,0.286244901909934
"AI413582",83.5028544036146,0.833306490778841
"AI462493",41.8404077744385,0.610538014620859
"AI837181",22.5134375810605,0.585735184602736
"AK010878",18.33877658841,0.50559260625649
"AU022252",19.6654085493998,0.451168187896916
"AU040320",32.6074381305785,0.494998473873834
"AW549877",66.7260354661705,1.47871762782966
"Aacs",27.4001809863329,0.635445421557348
"Aagab",18.8011372495662,0.464216773387189
"Aak1",18.4456800701431,0.270796784966652
"Aamp",164.596293777554,2.28307956685324
"Aars",100.49593532665,1.26210846513452
"Aasdhppt",31.0768732126253,0.564001275461243
"Aatf",20.3768949926675,0.431785112302675
"Abcc1",49.1040867639545,0.984078944140008
"Abcc5",26.0304646423428,0.484326927150936
"Abcd3",28.1968848705846,0.63654313460631
"Abce1",62.2507188498777,1.16760112224744
"Abcf1",65.7683822824601,1.03982104242253
"Abcf2",52.6055779336991,1.04940539847184
"Abcg2",17.2258004539625,0.148600635399266
"Abhd11",22.4243139378479,0.429216196571383
"Abhd12",33.3744455056259,0.441408823923375
"Abhd16a",21.7119808234214,0.696888550985308
"Abhd4",54.9771900697112,1.151308326923
"Abhd5",29.3144230275301,0.51384055121039
"Abhd8",15.1393594102589,0.32278982892449
"Abi1",74.9711711401,1.30341328042307
"Abi3bp",78.5490911219506,0.458727189929295
"Abr",15.0996602048734,0.350272337047463
"Acaa1a",27.4382287003079,0.811682414872487
"Acaa2",19.2498849500096,0.503838903735626
"Acad8",21.5189684842873,0.255778184692968
"Acad9",22.98962329609,0.454460754283046
"Acadl",32.8933275117681,0.717427247208944
"Acads",32.2156503630363,0.655737043978512
"Acadsb",33.0763232559801,0.834818116681768
"Acap3",15.1322234710422,0.477910050310952
"Acat1",66.1261122017703,1.08948265010641
"Acat2",22.9601534593851,0.513391403211334
"Acbd6",28.7499226645584,0.587501047089911
"Acd",29.8310638437773,0.601891084692332
"Acer3",25.2646608604407,0.509805613166883
"Acin1",56.5395115629389,0.701422186109484
"Acly",41.0768770032136,0.535434361397359
"Aco1",25.6777315941423,0.360128367742677
"Aco2",37.0114869725164,0.750261560622696
"Acot13",60.0276035231635,0.888544684487682
"Acot7",63.5228053013912,1.09361066984544
"Acot9",21.1251838419343,0.202336758054748
"Acox1",26.9792445030857,0.537695832946484
"Acp2",22.0117084229146,0.426007351615828
"Acsl5",35.0230588642141,0.681308661294477
"Acta1",248.284573337752,0.169657669790264
